
1s
1s
0s
Run actions/setup-node@v4
Found in cache @ /opt/hostedtoolcache/node/20.20.2/x64
Environment details
3m 28s
Run node check-script.js
=== GitHub Actions 检测开始 ===

📊 分组数: 6
🚫 黑名单: 6 条

📋 待检测IP总数: 1679

[*] 第一阶段(测速)开始: 1679 个IP
    [+] 有效IP: 220.82.203.178:18853  | 延迟: 810ms | 机房: ICN
    [+] 有效IP: 211.104.168.168:25448 | 延迟: 792ms | 机房: ICN
    [+] 有效IP: 59.30.42.194:12345    | 延迟: 1342ms | 机房: ICN
    [+] 有效IP: 221.155.8.85:19999    | 延迟: 1265ms | 机房: ICN
    [+] 有效IP: 119.207.109.145:11434 | 延迟: 629ms | 机房: ICN
    [+] 有效IP: 222.104.238.146:18264 | 延迟: 702ms | 机房: ICN
    [+] 有效IP: 222.113.18.214:11310  | 延迟: 636ms | 机房: ICN
    [+] 有效IP: 119.198.29.184:29090  | 延迟: 624ms | 机房: ICN
    [+] 有效IP: 121.145.128.239:32677 | 延迟: 786ms | 机房: ICN
    [+] 有效IP: 121.143.72.138:19565  | 延迟: 827ms | 机房: ICN
    [+] 有效IP: 175.195.147.45:10005  | 延迟: 899ms | 机房: ICN
    [+] 有效IP: 14.55.153.119:50001   | 延迟: 1029ms | 机房: ICN
    [+] 有效IP: 59.11.33.164:10162    | 延迟: 823ms | 机房: ICN
    [+] 有效IP: 59.27.228.160:37020   | 延迟: 813ms | 机房: ICN
    [+] 有效IP: 220.88.89.150:30005   | 延迟: 606ms | 机房: ICN
    [+] 有效IP: 220.127.68.28:50001   | 延迟: 1054ms | 机房: ICN
    [+] 有效IP: 222.112.168.62:12300  | 延迟: 958ms | 机房: ICN
    [+] 有效IP: 222.106.183.207:12300 | 延迟: 599ms | 机房: ICN
    [+] 有效IP: 222.113.76.221:11211  | 延迟: 718ms | 机房: ICN
    [+] 有效IP: 183.104.16.175:16000  | 延迟: 625ms | 机房: ICN
    [+] 有效IP: 121.182.16.235:18246  | 延迟: 786ms | 机房: ICN
    [+] 有效IP: 121.145.78.141:13579  | 延迟: 819ms | 机房: ICN
    [+] 有效IP: 59.10.201.102:18246   | 延迟: 822ms | 机房: ICN
    [+] 有效IP: 121.181.37.129:10250  | 延迟: 813ms | 机房: ICN
    [+] 有效IP: 222.104.226.216:12000 | 延迟: 700ms | 机房: ICN
    [+] 有效IP: 59.6.4.44:10912       | 延迟: 598ms | 机房: ICN
    [+] 有效IP: 211.223.9.175:32771   | 延迟: 854ms | 机房: ICN
    [+] 有效IP: 59.26.118.116:30001   | 延迟: 701ms | 机房: ICN
    [+] 有效IP: 121.175.192.245:26257 | 延迟: 815ms | 机房: ICN
    [+] 有效IP: 14.48.19.91:32771     | 延迟: 837ms | 机房: ICN
    [+] 有效IP: 220.72.90.235:10554   | 延迟: 629ms | 机房: ICN
    [+] 有效IP: 112.167.140.247:32773 | 延迟: 1009ms | 机房: ICN
    [+] 有效IP: 118.36.79.89:10030    | 延迟: 922ms | 机房: ICN
    [+] 有效IP: 118.42.85.48:15975    | 延迟: 806ms | 机房: ICN
    [+] 有效IP: 220.80.37.219:10909   | 延迟: 820ms | 机房: ICN
    [+] 有效IP: 119.195.219.150:11310 | 延迟: 801ms | 机房: ICN
    [+] 有效IP: 211.38.74.118:13666   | 延迟: 827ms | 机房: ICN
    [+] 有效IP: 61.80.187.206:10030   | 延迟: 860ms | 机房: ICN
    [+] 有效IP: 220.124.181.251:12300 | 延迟: 700ms | 机房: ICN
    [+] 有效IP: 112.187.236.176:11211 | 延迟: 787ms | 机房: ICN
    [+] 有效IP: 220.81.144.229:12300  | 延迟: 602ms | 机房: ICN
    [+] 有效IP: 218.146.122.147:10909 | 延迟: 797ms | 机房: ICN
    [+] 有效IP: 121.159.78.104:21747  | 延迟: 611ms | 机房: ICN
    [+] 有效IP: 218.152.201.153:33338 | 延迟: 813ms | 机房: ICN
    [+] 有效IP: 121.160.11.211:10035  | 延迟: 601ms | 机房: ICN
    [+] 有效IP: 222.105.146.163:30303 | 延迟: 694ms | 机房: ICN
    [+] 有效IP: 59.29.161.191:27015   | 延迟: 1430ms | 机房: ICN
    [+] 有效IP: 222.113.136.246:36876 | 延迟: 1134ms | 机房: ICN
    [+] 有效IP: 221.168.105.228:11371 | 延迟: 924ms | 机房: ICN
    [+] 有效IP: 183.99.58.243:10909   | 延迟: 634ms | 机房: ICN
    [+] 有效IP: 221.160.155.154:11965 | 延迟: 688ms | 机房: ICN
    [+] 有效IP: 211.192.237.97:10909  | 延迟: 622ms | 机房: ICN
    [+] 有效IP: 211.54.60.142:11371   | 延迟: 705ms | 机房: ICN
    [+] 有效IP: 175.212.51.220:11300  | 延迟: 628ms | 机房: ICN
    [+] 有效IP: 210.179.152.102:34599 | 延迟: 733ms | 机房: ICN
    [+] 有效IP: 211.184.62.172:10909  | 延迟: 1002ms | 机房: ICN
